司法院主管(含財團法人)111年第一季辦理政策及業務宣導之執行情形表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,單位：元
機關名稱,宣導項目、標題及內容,,媒體類型,宣導期程,執行單位,預算來源,預算科目,執行金額,受委託廠商名稱,預期效益,刊登或託播對象,備註
司法院,111年國民法官制度電視及廣播媒體宣導採購案,託播《國民法官：吳念真支持篇》30秒影片廣告,電視媒體,111年1月29日至2月15日,新聞及法治宣導處,總預算,一般行政,2942692,民視文化事業股份有限公司,向民眾廣為宣導,三立家族、東森家族、緯來家族、八大家族、TVBS新聞/TVBS、三立新聞/財經、民視新聞、年代新聞、東森新聞/財經、非凡新聞/商業、民視等電視頻道,
,111年國民法官制度電視及廣播媒體宣導採購案,託播《國民法官：吳念真支持篇》、《國民法官：吳念真盼望篇》30秒廣播廣告,廣播媒體,111年1月29日至2月15日,,,,479031,,,中廣流行網、飛碟聯播網、好事聯播網、燕聲廣播、台東之聲、青春線上、非凡音等廣播電台,
,中國時報2022年新春特刊刊登國民法官制度廣編廣告,,平面媒體,111年1月18日出刊,,,,98000,中國時報,,中國時報2022年新春特刊,
,託播《國民法官：吳念真支持篇》、《勞動事件法-工地篇、餐廳篇、加班篇》影片廣告,,電視媒體,111年1月17日至2月16日,,,,0,行政院新聞傳播處,,華視、中視、台視、民視、客家、原民等六家無線台,公益託播無收費
,託播《國民法官：吳念真支持篇》、《勞動事件法-工地篇、餐廳篇、加班篇》影片廣告,,電視媒體,111年2月17日至3月16日,,,,0,,,,
司法院,託播《國民法官：吳念真支持篇》、《勞動事件法-工地篇、餐廳篇、加班篇》影片廣告,,電視媒體,111年3月17日至4月16日,新聞及法治宣導處,總預算,一般行政,0,行政院新聞傳播處,向民眾廣為宣導,華視、中視、台視、民視、客家、原民等六家無線台,公益託播無收費
財團法人法律扶助基金會,逍遙法外講座活動、懶人包、校園宣導影片等,,網路媒體,111年1月1日至111年3月31日,財團法人法律扶助基金會,財團法人預算,管理費用,89250,名威行銷有限公司,向民眾廣為宣導,"Facebook
影音廣告",
,宣傳金門分會法律諮詢業務,,平面媒體,111年2月24、28日,,,,720,金門日報社,,金門縣所有訂閱金門日報之機關與民眾,
,,,,111年3月31日,,,,360,,,,
,宣傳馬祖分會法律扶助申請與諮詢業務,,電視媒體,111年3月15日至111年12月15日,,,,10000,祥通事業股份有限公司,,馬祖連江縣所有使用有線電視系統民眾,
本院所屬各機關111年度第一季無於平面媒體、廣播媒體、網路媒體（含社群媒體）及電視媒體辦理政策及業務宣導。,,,,,,,,,,,,
