司法院主管(含財團法人)111年第二季辦理政策及業務宣導之執行情形表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,單位：元
機關名稱,宣導項目、標題及內容,,媒體類型,宣導期程,執行單位,預算來源,預算科目,執行金額,受委託廠商名稱,預期效益,刊登或託播對象,備註
司法院,111年度國民法官制度電視及廣播媒體宣導採購案,託播《國民法官準備好篇(10秒)》、《國民法官：吳念真支持篇(15秒)》影片廣告,電視媒體,111年4月2日至111年4月4日,新聞及法治宣導處,總預算,一般行政,166667,民視文化事業股份有限公司,向民眾廣為宣導,緯來體育臺、Eleven體育臺,
,,《那些電影教我的事》Podcast節目口播60秒三則廣告,網路媒體,"111年4月15日
111年4月18日
111年4月20日",,,,234056,,,《那些電影教我的事》Podcast三集節目,
,,"網路投放：
1.Podcast節目口播國民法官宣導訊息一則
2.社群媒體平台分享國民法官宣導圖文共五則",網路媒體,111年5月24日,,,,353431,,,"1.Podcast節目「好味小姐開束縛我還你原形」。
2.FB、YouTube頻道「好味小姐LadyFlavor」、
「好味小姐腦波弱」
3.好味小姐官方IG",
,,託播「國民法官：吳念真支持篇」影片(15秒),電視媒體,111年6月6日至111年6月15日,,,,1562490,,,"1.三立、東森、緯來、衛視等家族頻道
2.TVBS新聞/TVBS、民視新聞等電視頻道",
,,託播：「國民法官：吳瑪麗篇」廣播(30秒)、「國民法官：張曼娟篇」廣播(30秒),廣播媒體,111年6月3日至111年6月17日,,,,986845,,,中廣流行網、飛碟聯播網、好事聯播網、城市聯播網、全國廣播、人人、大千、台南知音、港都、連花等廣播電台,
,,,網路媒體,111年6月6日至111年6月15日,,,,140055,,,Apple Podcast、Soptify、KKBOX、Sound On、Google Podcast、MixerBox等Podcast平台等，不指定，依節目上架平台投放,
,,託播：「國民法官：吳瑪麗篇」廣播(30秒),廣播媒體,111年6月8日,,,,56022,,,"Podcast節目
「馬克信箱」當集節目插播廣播廣告2則",
,111年度國民法官制度廣播媒體宣導案,託播「吳念真導演×國民法官廣播(30秒)、(60秒)、(盼望篇30秒)」(4月份已填報)及5月份增加「張曼娟×國民法官廣播(30秒)」、「吳瑪麗×國民法官廣播(30秒)」廣播廣告,廣播媒體,111年4月1日至111年7月31日,,,,493576,內政部警政署警察廣播電臺,,警察廣播電臺全國治安交通網、臺北、臺中、宜蘭、花蓮、新竹、臺南、高雄、臺東分臺,
司法院,111年度國民法官制度網路、平面、家外媒體宣導案,網路投放貓貓大審判！帶你快速認識國民法官影片(3分鐘),網路媒體,111年5月28日至111年6月12日,新聞及法治宣導處,總預算,一般行政,647296,三立電視股份有限公司,向民眾廣為宣導,Yahoo、Facebook、Instagram,
,,網路投放國民法官一起開始改變影片(30秒),網路媒體,,,,,803296,,,Google、Youtube、Yahoo、Facebook、Instagram、三立新聞網,
,,台灣吧【國民法官 動畫新番】影片,網路媒體,111年5月28日至111年6月13日,,,,1067301,,,Facebook、Instagram,
,,網路投放：司法院FB貼文「國民法官柴犬篇」、「國民法官教召篇」,網路媒體,111年6月7日至111年6月13日,,,,355767,三立電視股份有限公司,,Facebook、Instagram,
,託播《國民法官：吳念真支持篇》、《勞動事件法-工地篇、加班篇、餐廳篇》影片廣告,,電視媒體,111年4月20日至111年5月19日,,,,0,行政院新聞傳播處,,台視、中視、華視、民視、客家、原民等六家無線台,公益託播無收費
,「貓貓大審判！帶你快速認識國民法官」宣導影片,,網路媒體,111年4月4日至111年12月31日,,,,95000,陳緯僑,以寵物擬人為題，製作國民法官宣導影片，並配合寵物節日於社群平台露出，期以吸引喜愛寵物之網友點閱瀏覽分享，強化民眾對於國民法官制度內容之認識與理解,Facebook,
,111年LINE官方帳號2.0、FB、IG經營執行（5～12月）,,網路媒體,111年5月27日至111年12月31日,,,司法業務規劃研考,1800000,潮網科技股份有限公司,賡續經營官方司法社群，藉由圖文、影音等內容之推播，建立良善雙向互動平台，推廣全民法治教育,LINE、FB、IG社群平台,
司法院,託播「國民法官：吳念真支持篇」影片廣告（30秒）、「勞動事件法：工地篇、加班篇、餐廳篇」影片廣告（各20秒）,,電視媒體,111年5月20日至6月19日,新聞及法治宣導處,總預算,一般行政,0,行政院新聞傳播處,向民眾廣為宣導,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費
,,,電視媒體,111年6月20日至111年7月19日,,,,0,行政院新聞傳播處,向民眾廣為宣導,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費
,司法院111年大專校院法治教育創新行動方案競賽,,網路媒體,111年6月1日至111年7月31日,,,司法業務規劃研考,45000,財團法人民間公民與法治教育基金會,推廣分眾法治系列活動，鼓勵大專學生主動關心司法議題，貼近社會脈動、分析現況與成因，轉化並提出實質的公民行動,Google、Facebook、Instagram廣告,
財團法人法律扶助基金會,逍遙法外講座活動、懶人包、校園宣導影片等,,網路,111年4月1日至111年6月30日,財團法人法律扶助基金會,財團法人預算,管理費用,89250,智媒體數位行銷有限公司,向民眾廣為宣導,Facebook,
,宣傳金門分會法律諮詢業務,,平面媒體(報紙),111年4月30日,,,,360,金門日報社,,金門縣所有訂閱金門日報之機關與民眾,
,,,,111年5月31日,,,,360,,,,
,,,,"111年6月3日
111年6月30日",,,,720,,,,
