司法院主管(含財團法人)111年第三季辦理政策及業務宣導之執行情形表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,單位：元
機關名稱,宣導項目、標題及內容,,媒體類型,宣導期程,執行單位,預算來源,預算科目,執行金額,受委託廠商名稱,預期效益,刊登或託播對象,備註
司法院,「111年國民法官制度網路、平面、家外媒體宣導案」,國民法官LINE貼圖上架,網路媒體,111年6月21日至111年7月20日,新聞及法治宣導處,總預算,一般行政,370588,三立電視股份有限公司,向民眾廣為宣導,LINE,16張靜態貼圖上架，超過門檻數30萬下載數，以每筆1元計費，最高達60萬筆下載數後不再計費
,,國民法官LINE貼圖廣告,,111年6月21日至111年6月27日,,,,199412,,,Facebook、LINE,
,,,,111年6月28日至111年7月4日,,,,148235,,,,
,,藝人賴郁庭Po文分享國民法官LINE貼圖資訊,,111年7月4日,,,,0,,,Facebook,免費加值
,,藝人王品澔Po文分享國民法官LINE貼圖資訊,,111年7月8日,,,,0,,,Facebook,免費加值
,,主播張齡予Po文分享國民法官LINE貼圖資訊,,111年7月6日,,,,0,,,Facebook、Instagram,免費加值
,「司法院111年司法政策溝通採購案」,「國民法官，公假挺你」記者會，影音紀錄專輯及黃金文字訊息,電視媒體,111年7月12日,,,,0,民視文化事業股份有限公司,,不指定頻道，播出時間及長度依各媒體排播,免費加值
,,2022中華職棒明星對抗賽宣導國民法官制度活動影音紀錄專輯,電視媒體,111年7月30日,,,,0,,,不指定頻道，播出時間及長度依各媒體排播,免費加值
,111年國民法官制度電視及廣播媒體宣導採購案,託播「國民法官準備好篇」影片廣告(10秒),電視媒體,111年7月30日至111年7月31日,,,,294000,民視文化事業股份有限公司,,華視、Eleven Sport1臺,職棒明星賽事期間
,,"1.Podcast節目口播國民法官宣導訊息2則
2.FB po文2則
3.IG限時動態2則",廣播＋網路媒體,"111年7月11日
111年7月18日",,,,210084,,,"1.Podcast節目「婊姐必請」
2.「丹妮婊姐星球」Instagram及Facebook粉絲團",
,,"1.將國民法官宣導訊息內容於YouTube平台直播時置入聊天內容
2.FB po文1則",廣播＋網路媒體,111年7月10日,,,,140055,,,Podcast節目「壹加壹電臺」及其Facebook粉絲團,
,,"1.Podcast節目口播國民法官宣導訊息1則
2.FB po文1則
3.IG限時動態3則",廣播＋網路媒體,111年7月7日,,,,168068,,,"Podcast節目
「一百趴沈」及其Facebook與Instagram粉絲團",
司法院,司法院111年度司法歷史故事撰文勞務採購案,"司路歷程：司改歷史撰文
1.網站文章、臉書貼文各2篇
2.IG限動、貼文、解迷活動，總共5則
3.影片1支",網路媒體,"111年8月1日
至12月31日",新聞及法治宣導處,總預算,司法業務規劃研考,700000,史多禮股份有限公司,透過爬梳司法改革歷程，傳遞當代司法精神，期以鑒往知來，奠基司法基石。,網站、FB、IG、Youtube,
,繪製【國民法官X喬治＆希多士】LINE貼圖及授權,,網路媒體,111年8月12日,,,一般行政,50400,東立出版社有限公司,向民眾廣為宣導,LINE,
,111年國民法官制度電視及廣播媒體宣導採購案,"1.吳瑪麗×國民法官廣播廣告30秒
2.張曼娟×國民法官廣播廣告30秒",廣播媒體,"111年8月18日
至9月2日",,,,420166,民視文化事業股份有限公司,,Apple Podcast、Soptify、KKBOX、Sound On、Google Podcast、MixerBox等Podcast不指定平台投放,
,111年度國民法官制度廣播媒體宣導案,託播「吳念真導演×國民法官廣播(30秒)、(60秒)、(盼望篇30秒)」「張曼娟×國民法官廣播(30秒)」、「吳瑪麗×國民法官廣播(30秒)」廣播廣告(8月份已填報)及9月份新增、許效舜×國民法官廣播(福州伯篇30秒)、許效舜×國民法官廣播(鐵獅玉玲瓏篇30秒),廣播媒體,111年8月1日至111年11月30日,,,,464424,內政部警政署警察廣播電臺,,警察廣播電臺全國治安交通網、臺北、臺中、宜蘭、花蓮、臺南、高雄、臺東、新竹分臺,
,託播「國民法官：吳念真支持篇」影片廣告（30秒）、「勞動事件法：工地篇、加班篇、餐廳篇」影片廣告（各20秒）,,電視媒體,111年7月20日至111年8月19日,,,,0,行政院新聞傳播處,,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費
,託播「國民法官：吳念真公車站篇」、「國民法官：吳念真賣場篇」、「國民法官：吳念真市場篇」、「國民法官：吳念真小吃店篇」影片廣告（各30秒）,,,111年8月20日至10月19日,,,,0,,,,行政院公益託播無收費
司法院,司法院111年司法政策溝通採購案,託播勞動事件法-工地篇20秒、餐廳篇20秒、加班篇20秒影片廣告,電視媒體,111年9月2日至9月11日,新聞及法治宣導處,總預算,一般行政,1595730,民視文化事業股份有限公司,向民眾廣為宣導,三立家族、東森家族、緯來家族、衛視家族、TVBS新聞/TVBS、三立新聞/財經、民視新聞、東森新聞/財經,
