司法院主管(含財團法人)111年第四季辦理政策及業務宣導之執行情形表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,單位：元
機關名稱,宣導項目、標題及內容,採購標案,媒體類型,宣導期程,執行單位,預算來源,預算科目,執行金額,受委託廠商名稱,預期效益,刊登或託播對象,備註
司法院,託播《國民法官：吳念真支持篇》、《國民法官：吳念真盼望篇》30秒廣播廣告,111年國民法官制度電視及廣播媒體宣導採購案,廣播媒體,111年3月31日至4月7日,新聞及法治宣導處,總預算,一般行政,637665,民視文化事業股份有限公司,向民眾廣為宣導,中廣流行網、中廣新聞網、ICRT、城市聯播網、全國廣播、台灣廣播-臺中台、濁水溪、南都都、成功等廣播電台,因第二季漏列，於第四季補列
,製作「國民法官：吳瑪麗篇」及「國民法官：張曼娟篇」30秒廣播宣導帶,,廣播媒體,111年5月6日起,,,,175000,,,廣播媒體,因第二季漏列，於第四季補列
,司法院111年大專校院法治教育創新行動方案競賽,大專校院法治教育創新行動方案競賽規劃執行採購案,網路媒體,111年6月1日至111年7月31日,,,司法業務規劃研考,5000,財團法人民間公民與法治教育基金會,,Google、Facebook、Instagram廣告,修正第二季金額(補漏列5000元)
,設計「國民法官：吳念真公車站篇」、「國民法官：吳念真賣場篇」、「國民法官：吳念真市場篇」、「國民法官：吳念真小吃店篇」、「國民法官：吳念真辦公室篇」平面視覺,111年國民法官制度網路、平面、家外宣導案,"網路媒體
平面媒體",111年8月14日起,,,一般行政,235213,三立電視股份有限公司,,網路媒體、平面媒體,因第三季漏列，於第四季補列
,中華職棒明星對抗賽賽事LOGO授權使用、賽事官網司法院LOGO共同露出、中華職棒大聯盟官方粉絲團專屬貼文、職棒雜誌廣告共2期 (9、10月),司法院國民法官制度於2022中華職棒明星對抗賽宣導採購案,網路媒體+平面媒體,111年7月30日至10月30日,,,,100000,中華職業棒球大聯盟,,職棒雜誌、賽事手冊、賽事官網、司法院臉書,
,國民法官吳念真：市場篇、小吃店篇、公車站篇、賣場篇各30秒影片廣告,111年國民法官制度電視及廣播媒體宣導採購案,電視媒體,111年10月22日至11月6日,,,,4218723,民視文化事業股份有限公司,,三立家族(三立都會/台灣)、東森家族(東森戲劇/電影/洋片)、緯來家族(緯來戲劇/電影)、衛視家族、八大家族、TVBS新聞./TVBS、民視新聞、年代新聞、東森新聞/財經、非凡新聞/商業、壹電視、民視,
,國民法官:峮峮，這是我們的時刻篇30秒影片廣告,,電視媒體,111年10月13日至10月30日,,,,618333,,,緯來體育臺、愛爾達體育1/2/3臺,U23世界盃棒球賽&MLB世界大賽
,,,,111年10月29日至11月13日,,,,390834,,,緯來體育臺、ELEVEN體育1台、2台,職棒挑戰賽&冠軍賽
,,,,111年11月8日至11月11日,,,,157500,,,緯來體育臺/育樂臺,
司法院,"1.吳瑪麗×國民法官廣播廣告30秒
2.張曼娟×國民法官廣播廣告30秒
3.許效舜-福州伯篇30秒廣播廣告
4.許效舜-鐵獅玉玲瓏篇廣播廣告30秒
5.吳念真x國民法官支持篇廣播廣告30秒",111年國民法官制度電視及廣播媒體宣導採購案,廣播媒體,111年10月22日至11月6日,新聞及法治宣導處,總預算,一般行政,742472,民視文化事業股份有限公司,向民眾廣為宣導,中廣流行網、飛碟聯播網、好事聯播網、城市聯播網、寶島聯播網、台灣廣播-臺中台、濁水溪、南都、曾文溪、成功等廣播電臺,
,國民法官:峮峮，這是我們的時刻篇30秒影片廣告,,網路媒體,111年10月22日至11月6日,,,,833336,,,新聞聯播網、YouTube,
,國民法官:峮峮，這是我們的時刻篇30秒影片廣告＋國民法官賣場篇圖文banner,,網路媒體,111年10月13日至10月23日,,,,0,,,社群平台聯播廣告專案（LINE原生廣告、YouTube影音）,加值回饋
,,,,111年11月7日至11月13日,,,,354168,,,,
,"1.Podcast節目口播國民法官宣導訊息1則
2.FB po文1則
3.IG限時動態1則",,廣播＋網路媒體,111年10月23日,,,,343137,,,Podcast節目「台灣通勤第一品牌」及其Facebook&IG粉絲團,
,"1.Podcast節目口播國民法官宣導訊息1則
2.FB po文2則
3.IG貼文1則
3.IG限時動態1則",,廣播＋網路媒體,111年10月24日,,,,168068,,,Podcast節目「時間的女兒：八卦歷史」及其Facebook&IG粉絲團,
,"1.Podcast節目口播國民法官宣導訊息1則
2.FB po文2則
3.IG po文2則",,廣播＋網路媒體,111年11月10日,,,,56022,,,Podcast節目「劉軒的How to人生學」及其Facebook&IG粉絲團,
,"1.國民法官吳念真：市場篇30秒影片廣告
2.吳念真x國民法官盼望篇廣播廣告30秒",,電視+廣播媒體,111年10月28日至11月3日,,,,0,,,原視/Alian 96.3,加值回饋
