司法院主管(含財團法人),,,,,,,,,,,,,
媒體政策及業務宣導執行情形表,,,,,,,,,,,,,
中華民國112年第三季,,,,,,,,,,,,,
,,,,,,,,,,,,單位：元,
機關名稱,宣導項目、標題及內容,標案/契約名稱,媒體類型,宣導期程,執行單位,預算來源,預算科目,執行金額,受委託廠商名稱,預期效益,刊登或託播對象,備註,
司法院,2023中華職棒明星對抗賽之觀戰手冊內頁及職棒雜誌(7月)內頁露出國民法官廣告頁；記者會&晚宴背板及賽事官網露出國民法官logo,司法院國民法官制度於2023中華職棒明星對抗賽宣導採購案,網路媒體,112年7月(雜誌)；112年7月29至31日,新聞及法治宣導處,總預算,一般行政,"50,000 ",中華職業棒球大聯盟,向民眾廣為宣導,中華職棒官網、fb、youtube、職棒雜誌,,
司法院,託播「國民法官：吳念真市場篇」、「國民法官：吳念真小吃店篇」「司法改革影片—勞動事件篇 (30秒)」（各30秒）,無,電視媒體,112年7月20日至8月19日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費,
司法院,託播「國民法官，其實我們都可以（安心篇、推薦篇）」、「司法改革影片—ADR篇 (30秒)」（各30秒）,無,電視媒體,112年8月20日至9月19日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費,
司法院,託播「許效舜×國民法官廣播(鐵獅玉玲瓏篇30秒)」,無,廣播媒體,112年8月1日至8月31日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,全國廣播電臺,行政院公益託播無收費,
司法院,製作行政訴訟堅實第一審新制簡介：我期待的行政法院（6分39秒完整版）影片,司法院111年司法政策溝通採購案之後續擴充,"網路媒體
素材製作",112年9月14日起,行政訴訟及懲戒廳、新聞及法治宣導處,總預算,一般行政,"595,250 ",民視文化事業股份有限公司,向民眾廣為宣傳,素材製作、YouTube、司法院官網,,
司法院,剪輯宣導影片(「司法改革形象影片」及「國民法官：證言影片」)於司法改革相關成果記者會使用,無,"電視媒體
網路媒體
素材製作",112年8月25日起,新聞及法治宣導處,總預算,一般行政,"145,500 ",逐光幕影股份有限公司,向民眾廣為宣傳,素材製作、YouTube、司法院官網、電視媒體,,
司法院,製作國民法官英文版網頁(網址：https://social.judicial.gov.tw/en/CJlandingpage/),司法院111年司法政策溝通採購案之後續擴充,網路媒體,112年9月1日起,新聞及法治宣導處,總預算,一般行政,"150,000 ",民視文化事業股份有限公司,向民眾廣為宣傳,司法院官網、網路媒體,,
司法院,託播「國民法官：吳念真市場篇(30秒)」及亞運專案投放「國民法官 這是我們時刻篇(30秒)」影片,司法院111年司法政策溝通採購案之後續擴充,電視媒體,112年9月29日至10月10日,新聞及法治宣導處,總預算,一般行政,"1,583,677 ",民視文化事業股份有限公司,向民眾廣為宣傳,三立家族、東森家族、TVBS新聞/TVBS、三立新聞/財經、民視新聞、東森新聞/財經、愛爾達體育家族、緯來家族頻道,,
司法院,託播「國民法官google關鍵字廣告」、「國民法官：峮峮，這是我們的時刻篇」、圖像廣告「國民法官：吳念真公車站篇」,司法院111年司法政策溝通採購案之後續擴充,網路媒體,112年9月29日至10月10日,新聞及法治宣導處,總預算,一般行政,"1,904,800 ",民視文化事業股份有限公司,向民眾廣為宣傳,google關鍵字、包含但不限於youtube、google影音聯播網、line、PTT、Mobile 01等平台,,
司法院,託播「許效舜×國民法官廣播(鐵獅玉玲瓏篇30秒)」廣播廣告,司法院111年司法政策溝通採購案之後續擴充,廣播媒體,112年9月29日至10月10日,新聞及法治宣導處,總預算,一般行政," 520,020 ",民視文化事業股份有限公司,向民眾廣為宣傳,好事聯播網(人人廣播、山海屯青少年之聲廣播、港都廣播、蓮花廣播)、台語音樂網(寶島新聲、大千電台、濁水溪廣播電台),,
司法院,託播圖像廣告「國民法官：吳念真公車站篇」,司法院111年司法政策溝通採購案之後續擴充,網路媒體,112年9月29日至10月10日,新聞及法治宣導處,總預算,一般行政,0 ,民視文化事業股份有限公司,向民眾廣為宣傳,精選高接觸率新聞網站，如自由、UDN、東森新聞雲等,廠商回饋,
司法院,託播「國民法官：吳念真公車站篇、吳念真賣場篇」、「司法改革影片—被害人保護及訴訟參與篇(30秒)」（各30秒）,無,電視媒體,112年9月20日至10月19日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費,
司法院,歡迎國際法官協會會員，介紹臺灣社會人文、民主發展歷程、司法變革以及現況、多項民主及司法成果,司法院「憲法論壇」開幕影片,網路媒體,112年9月18日起,憲法法庭書記廳,總預算,一般行政,"388,000 ",億達影音多媒體科技有限公司,向與會貴賓廣為宣傳,2023年國際法官協會第65屆年會暨成立70週年大會現場播放、FB社群媒體以及憲法法庭網頁,,
財團法人法律扶助基金會,逍遙法外講座活動、宣導影片等,"非採購標案
法扶臉書廣告(7-9月)",網路媒體,112年7月1日至112年9月30日,總會宣導處　,總預算,管理費用," 89,250 ",台北數位廣告股份有限公司,向民眾廣為宣導,Facebook影音廣告,,
財團法人法律扶助基金會,個案紀錄片,"非採購標案
法律扶助基金會Youtube廣告",網路媒體,112年8月1日至8月20日,總會宣導處　,總預算,管理費用," 94,500 ",智媒體行銷顧問股份有限公司,向民眾廣為宣導,youtube廣告,,
填表說明：,,,,,,,,,,,,,
1.,本表係依預算法第62條之1規範，凡編列預算於平面媒體、廣播媒體、網路媒體(含社群媒體)及電視媒體辦理政策及業務宣導為填表範圍。,,,,,,,,,,,,
2.,「機關名稱」應包含國營事業、基金、財團法人，所稱之財團法人，係指政府捐助基金50％以上成立之財團法人。,,,,,,,,,,,,
3.,「標案/契約名稱」請填列政府電子採購網之「標案名稱」，倘為小額採購、行政委託及補助案件等無須刊登政府電子採購網者，則以辦理媒體政策及業務宣導相關文件（如契約等）之案名填列。,,,,,,,,,,,,
4.,「宣導期程」請依委託製播宣導之涵蓋期程，並針對季內刊登(播出)時間或次數填列，如109.10.1-109.12.31(涵蓋期程)；109.10.1、109.12.1(播出時間)或2次(刊登次數)。,,,,,,,,,,,,
5.,「執行單位」係指各機關或國營事業之內部業務承辦單位。,,,,,,,,,,,,
6.,「預算來源」請查填總預算、○○特別預算、國營事業、非營業特種基金或財團法人預算。,,,,,,,,,,,,
7.,「預算科目」屬總預算、特別預算及政事型特種基金請填至業務(工作)計畫；業權型基金填至損益表（收支餘絀表）3級科目（xx成本或xx費用）；財團法人填至收支營運表3級科目（xx支出或xx費用）。,,,,,,,,,,,,
8.,機關如有公益或廠商回饋免費廣告等補充說明，請列入備註欄表達。,,,,,,,,,,,,
