司法院主管(含財團法人),,,,,,,,,,,,,
媒體政策及業務宣導執行情形表,,,,,,,,,,,,,
中華民國112年第四季,,,,,,,,,,,,,
,,,,,,,,,,,,單位：元,
機關名稱,宣導項目、標題及內容,標案/契約名稱,媒體類型,宣導期程,執行單位,預算來源,預算科目,執行金額,受委託廠商名稱,預期效益,刊登或託播對象,備註,
司法院,託播「國民法官：吳念真市場篇、吳念真小吃店篇」、「司法改革影片—勞動事件篇(30秒)」（各30秒）,無,電視媒體,112年10月20日至11月19日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費,
司法院,「2023司法影展」活動暨宣傳,112年度金馬Ｘ司法影展採購案,網路媒體,112年10月1日至12月31日,新聞及法治宣導處,總預算,一般行政,"2,563,200 ",財團法人中華民國電影事業發展基金會,擴大推廣周知「2023司法影展」活動，推廣公民法治教育。,Google、Youtube、FB社群平台,,
司法院,託播「國民法官：吳念真客廳篇」、「國民法官，其實我們都可以（安心篇、推薦篇）」、「司法改革影片—ADR篇 (30秒)」（各30秒）,無,電視媒體,112年11月20日至12月19日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費,
司法院,託播「許效舜×國民法官廣播(福州伯篇30秒)」,無,廣播媒體,112年11月1日至11月30日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,全國廣播電臺,行政院公益託播無收費,
司法院,"1.以「基本權」為題之文章4篇
2.FB貼文、IG貼文、IG限動共12則",112年司法歷史故事撰文暨導覽規劃勞務採購案,網路媒體,112年12月1日至31日,新聞及法治宣導處,總預算,一般行政," 240,000 ",史多禮股份有限公司,製作「基本權與釋憲者」系列文章共4篇並推播，闡述憲法意義，並回顧三項重大釋憲宣告，解析相關歷史來由，期使大眾認識自身生活與司法改革間之影響。,網路、FB、IG,,
司法院,司法院LINE官方帳號2.0、FB、IG經營執行,司法院112年Line官方帳號2.0規劃執行暨社群輿情監測採購案,網路媒體,112年4月1日至12月31日,新聞及法治宣導處,總預算,一般行政,"34,390 ",潮網科技股份有限公司,賡續經營官方司法社群，藉由圖文、影音等內容之推播，建立良善雙向互動平台，推廣全民法治教育。,LINE、FB、IG社群平台,"本案契約變更追加34,390元(補列34,390元)",
司法院,製作「國民法官-免操煩篇」、「訴訟外紛爭解決機制ADR(司法型)」、「少年事件被害人程序參與制度」30秒宣導影片及廣播,司法院111年司法政策宣導素材製作採購案之後續擴充,"網路媒體
電視媒體
廣播媒體
素材製作",112年12月28日起,新聞及法治宣導處,總預算,一般行政,"2,700,000 ",赤兔影像製作有限公司,向民眾廣為宣導,素材製作、司法院官網、Youtube、網路媒體、電視媒體、廣播媒體,,
司法院,託播「國民法官：吳念真公車站篇」、「國民法官：吳念真賣場篇」、「司法改革影片—ADR篇(30秒)」（各30秒）,無,電視媒體,112年12月20日至113年1月19日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費,
司法院,託播「許效舜×國民法官廣播(鐵獅玉玲瓏篇30秒)」,無,廣播媒體,112年12月1日至12月31日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,全國廣播電臺,行政院公益託播無收費,
財團法人法律扶助基金會,逍遙法外講座活動、宣導影片等,"非採購標案--
法扶臉書廣告",網路媒體,112年10月1日至12月31日,總會宣導處　,總預算,管理費用," 148,000 ",智媒體數位行銷有限公司,向民眾廣為宣導,Facebook影音廣告,,
財團法人法律扶助基金會,檢警專案宣導,"非採購標案--
檢警漫畫改製動畫版",網路媒體,112年10月31日至11月15日,總會宣導處　,總預算,管理費用," 47,250 ",優尼克傳播有限公司,向民眾廣為宣導,youtube廣告,,
財團法人法律扶助基金會,檢警專案宣導,"非採購標案--
檢警動畫Youtube廣告",網路媒體,112年10月31日至11月15日,總會宣導處　,總預算,管理費用," 94,500 ",智媒體行銷顧問有限公司,向民眾廣為宣導,youtube廣告,,
財團法人法律扶助基金會,債務清償，走出債務陰霾,"採購標案--
「台鐵區間電車車廂內平面廣告小頭版版位」採購案",平面媒體,112年11月1日至11月30日,總會宣導處,總預算,管理費用," 596,000 ",台灣鐵道廣告有限公司,向民眾廣為宣導,台鐵區間車(涵蓋北中南東區),,
財團法人法律扶助基金會,債務清償，走出債務陰霾,"採購標案--
「台北轉運站燈箱廣告」採購案",平面媒體,112年11月13日至12月12日,總會宣導處,總預算,管理費用," 475,000 ",百官爵廣告有限公司,向民眾廣為宣導,台北轉運站燈箱,,
財團法人法律扶助基金會,法扶申請免費，切誤輕信黃牛。另說明原民專案申請須知。,"非採購標案--
廣播電台廣告託播",廣播媒體,112年11月1日至11月30日,台東分會,總預算,管理費用," 10,000 ",正聲廣播股份有限公司臺東廣播電台,向民眾廣為宣導,正聲廣播電台,,
填表說明：,,,,,,,,,,,,,
1.,本表係依預算法第62條之1規範，凡編列預算於平面媒體、廣播媒體、網路媒體(含社群媒體)及電視媒體辦理政策及業務宣導為填表範圍。,,,,,,,,,,,,
2.,「機關名稱」應包含國營事業、基金、財團法人，所稱之財團法人，係指政府捐助基金50％以上成立之財團法人。,,,,,,,,,,,,
3.,「標案/契約名稱」請填列政府電子採購網之「標案名稱」，倘為小額採購、行政委託及補助案件等無須刊登政府電子採購網者，則以辦理媒體政策及業務宣導相關文件（如契約等）之案名填列。,,,,,,,,,,,,
4.,「宣導期程」請依委託製播宣導之涵蓋期程，並針對季內刊登(播出)時間或次數填列，如109.10.1-109.12.31(涵蓋期程)；109.10.1、109.12.1(播出時間)或2次(刊登次數)。,,,,,,,,,,,,
5.,「執行單位」係指各機關或國營事業之內部業務承辦單位。,,,,,,,,,,,,
6.,「預算來源」請查填總預算、○○特別預算、國營事業、非營業特種基金或財團法人預算。,,,,,,,,,,,,
7.,「預算科目」屬總預算、特別預算及政事型特種基金請填至業務(工作)計畫；業權型基金填至損益表（收支餘絀表）3級科目（xx成本或xx費用）；財團法人填至收支營運表3級科目（xx支出或xx費用）。,,,,,,,,,,,,
8.,機關如有公益或廠商回饋免費廣告等補充說明，請列入備註欄表達。,,,,,,,,,,,,
